page	entry	sub_id	is_head	score	status	scan	text_position	match_rel_start	match_rel_end	candidate_entries	detected_header_entry	reviewed	review_note	ocr_last_lines	xml_sublemma_preview
1	12	10800012-1	0	62.96	ok	H4 6481 (8,1_0071.jpg	ends-here	0.844	0.994	11|12|13		0		cur) 63:'S'570 593 202'-204'.	de can. et preb. eccl. b. Marie Glogovie < maior. > Wratislav. dioc. 4 m. arg. p. vacat. p. resign. d. Pauli < p. mag. Nicolaum Tungen script. et fam. pape procur. > 30. decb. 1463 S 570 245rs ., L 593 202r-204r .
2	24	10800024-2	0	100.00	ok	H4 6481 (8,1_0072.jpg	continues	0.372	0.481	23|24|25		0		ville Ditkyrchen Veronen., Trever. et Colon. dioc. ex causa perm. et	adm. resign. Ade par. eccl. s. Petri de Villafrancha et Johannis Caldarificis de Monteboyr can. et preb. eccl. s. Florini Confluenci ac Johannis Lenss par. eccl. in Reimberg necnon perp. s. c. vicar. ad alt. s. Trinitatis in eccl. ville Ditkyrchen Veronen., Trever. et Colon. dioc. ex causa perm. et prov. sibi de eccl. in Reimberg Colon. dioc. 5 m. arg. , n. o. prov. de par. eccl. in Goesendorp Colon. dioc. 15 m. arg. quam n. possidet litig. in cur. , c. disp. retin. insimul d. eccl. in Goesendor ...
3	36	10800036-3	0	83.33	ok	H4 6481 (8,1_0073.jpg	ends-here	0.805	0.994	35|36|37		0		Q) 1123) 108) 443 13. ielE 444 13”.	oblig. p. m. Petri Bogart script. pape sup. annat. can. et preb. d. eccl. s. Victoris s. d. 11. sept. 59 , solv. 16 fl. adc. 25. oct. 1459 A 12 29v , Q 1123 108v , IE 443 13v , IE 444 13v .
4	42	10800042-3	0	76.00	ok	H4 6481 (8,1_0074.jpg	starts-here	0.000	0.576	41|42|43		0		59 § 520 201", L 546 154” - de com- miss. visit. monasteria in dominio	de commiss. visit. monasteria in dominio suo 24. iul. 1459 S 520 201rs .
5	52	10800052-8	0	75.86	ok	H4 6481 (8,1_0075.jpg	ends-here	0.442	1.000	51|52|53		0		14. decb. 58 L 548A 20's. - de lic. perm.	lic. resign. 2 benef. 14. decb. 1458 L 548A 20vs .
6	53	10800053-3	0	100.00	ok	H4 6481 (8,1_0076.jpg	starts-here	0.024	0.192	52|53|54		0		perp. capn. ad alt. ss. Nicolai et Omn. ss. ac b. Barbare in par. eccl.	m. confer. perp. capn. ad alt. ss. Nicolai et Omn. ss. ac b. Barbare in par. eccl. de Outhuesden Leod. dioc. 3 m. arg. vac. p. o. Henrici Roetvin, n. o. quod papa sub eodem dato Adriano de can. et preb. eccl. s. Catherine op. Huesden d. dioc. 4 vac. p. o. eiusdem Henrici prov. ac perp. s. c. capn. ad alt. s. Blasii et b. Marie Magdalene in eccl. s. Dyonisii Leod. 4 m. arg. litig. in cur. 26. sept. 1461 L 575 166vs .
7	64	10800064-1	0	98.15	ok	H4 6481 (8,1_0077.jpg	continues	0.384	0.593	63|64|65		0		et dioc. Morinen. constitu- te: conf. privil. Gregorii XI., Eu-	Universe persone utr. sexus ad custod. infirmorum et presertim vigente peste p. A., Brabantiam , Flandriam et dioc. Morinen. constitute : conf. privil. Gregorii XI. , Eugenii IV. et Nicolai V. de recip. loca et exten. ad provin. Francie et lic. elig. confess. 3. ian. 1459 V 498 253rs .
8	69	10800069-1	0	100.00	ok	H4 6481 (8,1_0078.jpg	continues	0.364	0.566	68|69|70		0		benef. c. Hinrico de Hachede leg. doct. perm. etiamsi vac. adhuc p.	de nova prov. de can. et preb. eccl. ss. Petri et Pauli Bardewicen. Verden. dioc. 4 m. arg. quos pro quoddam perp. s. c. benef. c. Hinrico de Hachede leg. doct. perm. etiamsi vac. adhuc p. o. in cur. Johannis Sloer script. penitentiarie qui illos obtin. aut litig. inter Hinricum et Nicolaum Grawcrod 12. iul. 1463 S 565 14v .
9	76	10800076-3	0	90.43	ok	H4 6481 (8,1_0079.jpg	ends-here	0.509	1.000	75|76|77		0		donandis ambasciatoribus suis 28. feb. 59 SpM 1473 26' - marchese	item 53 fl. 23 bol. pro cera ad candelas et pro marzapani donandis ambasciatoribus suis 28. feb. 1459 SpM 1473 26r .
10	76	10800076-24	0	98.28	ok	H4 6481 (8,1_0080.jpg	continues	0.463	0.852	75|76|77		0		nendi Judeos ad solvendum steu- ram infra temp. statuendum 6.	imper. capitaneus cui Fridericus R. I. censum Judeorum conc. : de commiss. monendi Judeos ad solvendum steuram infra temp. statuendum 6. mart. 1464 S 572 97rss .
11	82	10800082-8	0	80.95	manual	H4 6481 (8,1_0081.jpg	complete-on-page	0.000	1.000	81|82|83		1	chosen candidate 1	iul. 62 L579 123's. - 1. b. iul. 62 T 9 236) = aul 62), 9: 236°,	l. b. iul. 1462 T 9 236r .
12	86	10800086-9	0	100.00	ok	H4 6481 (8,1_0082.jpg	continues	0.631	0.809	85|86|87		0		statutis eccl. Herbip. quib. cavetur quod nullus nisi can. inibi actu	litig. coram Nicolao aep. Sipuntino iudice causarum contra Georgium de Elrichsenhausen can. Herbip. : de prov. si neutri de archidiac. in Ypphoven in eccl. Herbip. 35 m. arg. vac. p. o. Nicolai de Rinhoven al. de Sekkendorff Nicolai V. fam. c. derog. statutis eccl. Herbip. quib. cavetur quod nullus nisi can. inibi actu prebend. archidiac. in eadem eccl. obtin. possit 30. mart. 1462 S 549 73rss .
13	88	10800088-1	0	96.67	ok	H4 6481 (8,1_0083.jpg	ends-here	0.641	0.949	87|88|89		0		dioc. procur. fact. c. reserv. pens. ann. 14 fl. adc. 12. feb. 60 L 553	prov. de par. eccl. s. Martini in Chemnaten Patav. dioc. 7 m. arg. vac. p. resign. Conradi Seelman p. m. Radolphi Gswentner cler. Ratisbon. dioc. procur. fact. c. reserv. pens. ann. 14 fl. adc. 12. feb. 1460 L 553 89v-91r .
14	98	10800098-0	1	97.52	ok	H4 6481 (8,1_0084.jpg	starts-here	0.000	0.465	97|98|99	98	0	correctly matched head of entry 98	98 Albertus de Novacivitate decr. doct. pleb. pleban. in Pyotrawyn	Albertus de Novacivitate decr. doct. pleb. pleban. in Pyotrawyn Cracov. dioc. 8 m. arg. , quond. Sbignei tit. s. Prisce S. R. E. presb. card. fam.
15	101	10800101-9	0	100.00	ok	H4 6481 (8,1_0085.jpg	continues	0.159	0.566	100|101|102		0		colleg. eccl. Lanccicien. Gneznen. dioc. (7 m. arg.) vac. p. o. Martini	motu pr. de can. et preb. colleg. eccl. Lanccicien. Gneznen. dioc. 7 m. arg. vac. p. o. Martini de Tarnow in Lancicia cam. ap. succollect. 16. ian. 1464 S 571 131v .
16	104	10800104-11	0	90.00	ok	H4 6481 (8,1_0086.jpg	continues	0.252	0.641	103|104|105		0		nat; 22: eccl: August. p. Georgium Wierig (Win-	solv. annat. 22 fl. adc. can. et preb. eccl. August. p. Georgium Wierig Winrig 29. ian. 1463 IE 452 43v , IE 453 42v .
17	110	10800110-2	0	94.59	ok	H4 6481 (8,1_0087.jpg	ends-here	0.513	0.987	109|110|111		0		menses, sola sign. 13. mart. 62 S 549 5's.	de prorog. term. de exped. d. litt. ad 6 al. menses, sola sign. 13. mart. 1462 S 549 5vs .
18	119	10800119-1	0	72.22	ok	H4 6481 (8,1_0088.jpg	ends-here	0.768	0.905	118|119|120		0		Unna_ finis deest, Cass. quia prov. fuit,	de can. et preb. eccl. s. Patrocli Susacien. d. dioc. 6 m. arg. vacat. p. cess. Henrici Steynhoff cubic. et fam. pape presb. d. dioc. cui de eisdem vac. p. o. in cur. Heynemanni Loer de Unna abbrev. Mantue defuncti prov. fuit, finis deest, cass. quia alibi scripta s. d. S 524 259r , I 328 56v .
19	121	10800121-0	1	100.00	ok	H4 6481 (8,1_0089.jpg	ends-here	0.626	0.973	120|121|122		0		Petri de Gay cler. contra Petrum Nicolai Seraphin de Dambrolcoko	Albertus Wlotconis Wlothkonis, Wladconis, Wlodkonis de Laghewniki, Laghewnykii, Langencomby litig. in cur. unac. Alberto Petri de Gay cler. contra Petrum Nicolai Seraphin de Dambrolcoko reum
20	121	10800121-8	0	100.00	ok	H4 6481 (8,1_0090.jpg	continues	0.308	0.408	120|121|122		0		arg.) de quib. auct. ordin. sibi prov. obtin. dudum vac. p. cess.	de nova prov. de Poznan. cathedr. 7 , Unyeavien. 12 ac Lancicien. 8 colleg. eccl. can. et preb. ac de par. eccl. b. Marie Magdalene Poznan. que de iur. patron. regis Polonie exist. 12 m. arg. de quib. auct. ordin. sibi prov. obtin. dudum vac. p. cess. Alberti Wladconis custod. Gneznen. et p. cess. Alberti Petri can. et preb. in cathedr. Poznan. et colleg. eccl. Unyeavien. Gneznen. dioc. necnon p. cess. Alberti Wladconis can. et preb. Cracov. ac p. cess. Raphaelis de Skauvina par. eccl. b. Marie ...
21	127	10800127-0	1	100.00	ok	H4 6481 (8,1_0091.jpg	continues	0.323	0.536	126|127|128		0		Quartam capellam in Authoesden nunc. Leod. dioc. p. Johannem	Alexander Johannes de Os can. prof. mon. de Vern o. Prem. Traiect. dioc. , presb. qui par. eccl. Quartam capellam in Authoesden nunc. Leod. dioc. p. Johannem Leckerkerken presb. Traiect. dioc. licent. in theol. procur. suum in cur. resign. de qua Marsilio de Macharen abb. d. mon. prov. fuit
22	134	10800134-7	0	95.65	ok	H4 6481 (8,1_0092.jpg	starts-here	0.000	0.202	133|134|135		0		78' - Sigismundo ex Austrie prin- cipibus contra Nicolaum tit. s.	Sigismundo ex Austrie principibus contra Nicolaum tit. s. Petri ad vincula presb. card. ep. Brixin. adherens: priv. can. et preb. eccl. Trident. et par. eccl. plebs nunc. s. Marie de Volsama Vicentin. dioc. nom. etiam Leonardus Marci Bruneti cler. Vicentin. dioc. , s. d. fragm. Chigi C VII 217 15rs .
23	141	10800141-2	0	100.00	ok	H4 6481 (8,1_0093.jpg	continues	0.717	0.812	140|141|142		0		sarinis aud. (et deinde coram Petro de Firmo can. Firman.)) precipiet	referns quod Petrus s. Petri Salzeburg. civit. et Thomas in Lambac h o ac Laurentius in Cellismarie mon. abb. d. o. s. Ben. ac mag. Udalricus Tringelt Trinkgelt < cler. > licent. in decr. Salzeburg. , Patav. et Frising. dioc. de m. aep. Salzeburg. visit. et concordiam inter abb. et monach. fecerunt: supplic. Frederico R. I. de committ. aep. Salzeburg. ut Johannem Trautmansdorffer Trawtmansdarffer fr. d. mon. A. qui ab ipsius abb. obed. se exemptum fore pretendit et contra d. concordiam litig. co ...
24	150	10800150-0	1	94.44	ok	H4 6481 (8,1_0094.jpg	complete-on-page	0.000	1.000	149|150|151	150	0	correctly matched head of entry 150	150 Andreas’ Knif(f) (Knyff) Traiect. de bono gen. procreatus:	Andreas Knif f Knyff cler. Traiect. de bono gen. procreatus
25	153	10800153-6	0	100.00	ok	H4 6481 (8,1_0095.jpg	continues	0.657	0.738	152|153|154		0		fam. contra quond. Johannem Herdeglen can. ipsius eccl. (as-	litig. coram Johanne Spul scolast. s. Gereonis et Johanne Bemel can. Ss. appl. Colon. eccl. ac Jacobo Segel offic. Colon. quib. Theodericus aep. Colon. causam commiserat et deinde in cur. sup. dyaconale seu libera preb. eccl. s. Severini Colon. in qua nonnulle sacerdotales et certis oneribus onerate, alie dyaconales et subdiaconales preb. libere nunc. fore noscuntur vac. p. o. in cur. Gerardi Veyherys can. eiusdem eccl. et p. resign. Petri Everhardi cler. Calisti III. fam. contra quond. Johannem ...
26	158	10800158-1	0	100.00	ok	H4 6481 (8,1_0096.jpg	ends-here	0.642	0.927	157|158|159		0		facult. p. Nicolaum V. eidem conc. (licet revocate) sibi contulit 12. iul.	de nova prov. de can. et preb. eccl. b. Marie Lanciata.[!] Gneznen. dioc. 48 fl. adc. vac. p. resign. sive p. o. Nicolai de Pobiidziiska quos Johannes aep. Gneznen. vig. facult. p. Nicolaum V. eidem conc. licet revocate sibi contulit 12. iul. 1459 S 519 279rs .
27	165	10800165-4	0	72.97	ok	H4 6481 (8,1_0097.jpg	continues	0.271	0.536	165|166|167		0		konis) clericos: de prov. si nulli de Di	reus et possessor litig. contra Johannem Horn cler. : de prov. si neutri de decan. ut supra etiamsi vac. p. o. Gangolffi Reger 28. apr. 1461 S 540 31rs .
28	168	10800168-17	0	87.39	ok	H4 6481 (8,1_0098.jpg	ends-here	0.550	1.000	167|168|169		0		rioti de Banchis cler. Florentin. 20. iun. 61 S 540 236° - litig. in cur.	fit mentio de resign. off. scriptorie litt. ap. in favorem Ludovici Marioti de Banchis cler. Florentin. 20. iun. 1461 S 540 236r .
29	173	10800173-3	0	85.45	ok	H4 6481 (8,1_0099.jpg	ends-here	0.792	1.000	172|173|174		0		et de reval. gr. expect. sub primo dato S 541 126° - de nova prov. de	de exped. litt. desup. c. express. quod eandem vig. suprad. gr. expect. que ad cantor. se n. extendebat acceptaverit necnon quod d. Petrus quond. Sbygney tit. s. Prisce presb. card. fam. extiterit et de reval. gr. expect. sub primo dato S 541 126r .
30	177	10800177-3	0	100.00	ok	H4 6481 (8,1_0100.jpg	starts-here	0.000	0.542	176|177|178		0		decr. doct., can. Tarbat.: de decan. eccl. Tarbat. (12 m. arg.) vacat. p.	decr. doct. , can. Tarbat. : de decan. eccl. Tarbat. 12 m. arg. vacat. p. resign. Henrici Wildeshusen 9. iul. 1463 S 565 52vs .
31	186	10800186-7	0	93.94	ok	H4 6481 (8,1_0101.jpg	ends-here	0.845	0.991	185|186|187		0		Holttschuher 4. oct. 63 S 568 249's.	litig. coram Sancio Romero aud. contra Bertoldum Kleyn reum et detentorem: de prov. si neutri de perp. vicar. ad alt. s. Jodoci in par. eccl. s. Jacobi e. m. Northusen Magunt. dioc. 3 m. arg. vac. p. o. Henrici Holttschuher 4. oct. 1463 S 568 249rs .
32	195	10800195-1	0	100.00	ok	H4 6481 (8,1_0102.jpg	continues	0.362	0.804	194|195|196		0		m. arg.) vac. p. o. Pauli Carnificis quam acc. vig. gr. expect. Calisti	de nova prov. de par. eccl. in Eberczhausen d. dioc. 4 m. arg. vac. p. o. Pauli Carnificis quam acc. vig. gr. expect. Calisti III. 14. oct. 1458 S 513 138r .
33	203	10800203-0	1	100.00	ok	H4 6481 (8,1_0103.jpg	complete-on-page	0.000	1.000	202|203|204	203	0	correctly matched head of entry 203	203 Anna Bachin: 1. b. (lic. elig. con- fess) tun: 62 499231".	Anna Bachin
34	225	10800225-0	1	97.62	ok	H4 6481 (8,1_0104.jpg	complete-on-page	0.000	1.000	224|225|226	225	0	correctly matched head of entry 225	225 Antonius Block(el) (Blochkel, Blo- kel) fam. pape: motu pr. de perp.	Antonius Block el Blochkel, Blokel fam. pape
35	231	10800231-2	0	100.00	ok	H4 6481 (8,1_0105.jpg	ends-here	0.853	0.970	230|231|232		0		Rosendale Leod. dioc. (simul 11 m. arg.) que n. possidet, sub primo	cui motu pr. prov. fuit de par. eccl. s. Catherine de Wanere Cameracen. dioc. 4 m. arg. vac. p. o. Henrici de Riede : de confic. litt. desup. c. express. n. o. benef. de Zellar in eccl. s. Rumoldi Mechlinen. necnon alt. s. Johannis bapt. in eccl. b. Marie Vilvorden. que obtin. et prov. de s. Crucis in eccl. s. Johannis Traiect. ac s. Jacobi in par. eccl. de Veteribusco Leod. dioc. et s. Martini in eccl. s. Johannis Leod. alt. ac de matricularia seu custod. in par. eccl. de Rosendale Leod. dioc. ...
36	238	10800238-2	0	100.00	ok	H4 6481 (8,1_0106.jpg	continues	0.261	0.643	237|238|239		0		par. eccl. s. Viti ville de Sancto Vito in Empetzo d. dioc. (20 fl.	presb. Aquileg. dioc. nullum benef. obtin. : de par. eccl. s. Viti ville de Sancto Vito in Empetzo d. dioc. 20 fl. adc. vac. p. o. Friderici Teutonici 13. mai. 1461 S 539 214vs .
37	242	10800242-1	0	100.00	ok	H4 6481 (8,1_0107.jpg	continues	0.535	0.796	241|242|243		0		consiliario et elemosinario fact. pro can. et preb. eccl. s. Quintini	supplic. d. duce de nova prov. de prepos. eccl. s. Pharaildis Ganden. Tornacen. dioc. 40 l. T. p. quam acc. vig. perm. c. Matheo de Bracle d. ducis consiliario et elemosinario fact. pro can. et preb. eccl. s. Quintini in Viromanda Noviomen. dioc. 6. oct. 1459 S 524 153vs .
38	252	10800252-0	1	100.00	ok	H4 6481 (8,1_0108.jpg	complete-on-page	0.000	1.000	251|252|253	252	0	correctly matched head of entry 252	252 Antonius de Rosendale: pens., lt 329 io	Antonius de Rosendale
39	262	10800262-0	1	100.00	ok	H4 6481 (8,1_0109.jpg	complete-on-page	0.000	1.000	261|262|263		0		Aquileg. dioc. cam. thesaur. d. eccl. unita 22. mai. 59 V 471 343's.	Aquileg.
40	267	10800267-1	0	73.68	ok	H4 6481 (8,1_0110.jpg	continues	0.123	0.135	266|267|268		0		ir. by Ma- rie de amt	Dec. etc. eccl. : conceditur certa conf. , s. d. I 272 37v . Dec. etc. colleg. eccl. ss. Petri et Michaelis : de incorp. par. eccl. in Bischovißwiler Argent. dioc. 30 m. arg. 18. apr. 61 S 538 103vs . Prior et fr. domus o. b. Marie de Montecarmeli e. m. A. : m. Johanni Pollart prep. eccl. s. Walburgis Arnhem. Traiect. dioc. in civit. A. resid. incorp. capel. s. c. s. Nicolai in dem Giessen A. a d. domo n. remotam de iur. patron. laic. 6 m. arg. in usum et habitationem ipsorum 30. oct. 59 L 558 7 ...
41	272	10800272-1	0	86.67	ok	H4 6481 (8,1_0111.jpg	ends-here	0.688	0.948	271|272|273		0		fam. pape procur. eius) 29. mai. S 574 141%s., L 599 -	de capel. < s. c. b. Marie in aula episc. Osnaburg. > 4 m. arg. vacat. p. resign. < Johannes Rakeman p. Gregorium de Puteo script. et fam. pape procur. eius> 29. mai. 1464 S 574 141vs ., L 599 35v-37r .
42	280	10800280-3	0	86.49	ok	H4 6481 (8,1_0112.jpg	ends-here	0.811	0.995	279|280|281		0		arg.) quam obtin. 13. iun. 63 S 563 PIPERS,	antiquus cortisanus qui diu in cur. se sustentavit: de prerog. fam. n. descript. in assec. gr. expect. de 2 benef. , n. o. premissaria s. c. in par. eccl. s. Johannis bapt. Colon. 2 m. arg. quam obtin. 13. iun. 1463 S 563 272rs .
43	284	10800284-6	0	100.00	ok	H4 6481 (8,1_0113.jpg	continues	0.401	0.581	283|284|285		0		Walrandi (Warlandi) Pauli presb. d. dioc. (cui unus ex procur. d. Jo-	cui prov. fuit de par. eccl. b. Marie Nivellen. Leod. dioc. vac. p. o. in cur. Johannis Mota in civit. Mantuana defuncti: de adm. resign. in favorem Walrandi Warlandi Pauli presb. d. dioc. cui unus ex procur. d. Johannis eius obitum ignorans eadem par. eccl. in partibus perm. fac. c. reserv. pens. ann. 10 fl. renen. , gratis 27. nov. 1459 S 525 76rss ., V 476 109v-111r .
44	287	10800287-1	0	96.36	ok	H4 6481 (8,1_0114.jpg	ends-here	0.752	0.996	286|287|288		0		nis Traiect. (4 m. arg.) quam pos- sidet 14. oct. 58 S 512 295”.	de par. eccl. in Everdinghen Traiect. dioc. 4 m. arg. vac. p. o. Johannis Buerman Dominici tit. s. Crucis in Jerusalem presb. card. Firmanus nunc. fam. , n. o. preb. animarum in eccl. s. Johannis Traiect. 4 m. arg. quam possidet 14. oct. 1458 S 512 295v .
45	290	10800290-0	1	97.50	ok	H4 6481 (8,1_0115.jpg	complete-on-page	0.000	1.000	289|290|291	290	0	correctly matched head of entry 290	290 Arnoldus VrieBe (Vriese) cler. Traiect. dioc.: de par. eccl. s.	Arnoldus Vrieße Vriese cler. Traiect. dioc.
46	294	10800294-7	0	100.00	ok	H4 6481 (8,1_0116.jpg	continues	0.434	0.524	293|294|295		0		et preb. eccl. s. Andree Colon. quos obtin. in favorem suum dim.	actor qui litig. in cur. contra Haymannum de Unna cler. Colon. dioc. litt. ap. script. et abbrev. reum et possessorem sup. decan. et ferculo eccl. s. Victoris Xancten. d. dioc. 16 m. arg. vac. p. o. Petri Scalpipe concordavit c. Haymanno eo modo quod ipse iuri sibi competenti cedere, Haymannus vero can. et preb. eccl. s. Andree Colon. quos obtin. in favorem suum dim. teneatur, deinde in causam tractus p. Conradum Yngenwinckel cler. d. dioc. Calisti III. fam. in cur. defunctum sup. eisdem decan. ...
47	294	10800294-21	0	93.55	ok	H4 6481 (8,1_0117.jpg	complete-on-page	0.000	1.000	293|294|295		0		alt. port. 22. ian. 59 V 498 289's. - litt. passus 22. ian. 59 V 498 -	alt. port. 22. ian. 1459 V 498 289rs .
48	294	10800294-41	0	94.34	ok	H4 6481 (8,1_0118.jpg	starts-here	0.000	0.135	293|294|295		0		191%s. - cubic.: de nova prov. de can. et preb. Traiect. (14 m. arg.)	cubic. : de nova prov. de can. et preb. Traiect. 14 m. arg. quos vac. p. o. Johannis Vyten Elswert acc. vig. gr. expect. aut reserv. Nicolai V. et Calisti III. litig. in cur. coram Paulo tunc ep. Syracusan. contra Heymannum de Unna abbrev. et litt. ap. script. ac Johannis tit. s. Prisce presb. card. fam. possessorem in cur. defunctum de quib. eapropter motu pr. Arnoldo prov. fuit 1. sept. 1463 S 566 279vs .
49	296	10800296-15	0	94.74	ok	H4 6481 (8,1_0119.jpg	ends-here	0.396	0.960	295|296|297		0		pat., fiat et veniat pro conf. ad sed. ap. 28. mai. 61 S 540 - Phi-	in 14. sue et. an. constit. : de disp. ad incompat. , fiat et veniat pro conf. ad sed. ap. 28. mai. 1461 S 540 103vs .
50	307	10800307-1	0	63.33	ok	H4 6481 (8,1_0120.jpg	ends-here	0.872	1.000	306|307|308		0		sept: 58) sept. 58 V 500 9° - de perp. vicar.	de can. et preb. colleg. eccl. s. Crucis Wratislav. de iur. patron. laic. 6 m. arg. vac. p. o. Nicolai Hesler in civit. Senen. defuncti 12. sept. 1458 S 511 221rs ., conc. s. d. 4. sept. 58 V 500 9r .
51	313	10800313-6	0	100.00	ok	H4 6481 (8,1_0121.jpg	continues	0.425	0.540	312|313|314		0		Gerwini Hanstede auct. ap. assec. extitit) etiamsi vac. adhuc p. prom.	< cler. Bremen. > litig. contra Hermannum Duker cler. < Bremen. > decr. doct. coram <Gaspari de Theramo aud. et deinde coram> Johanni Didaci de Coca aud. in secunda instantia: de prov. si neutri de can. et maior. preb. eccl. Lubic. 4 m. arg. <quos vac. p. resign. Gerwini Hanstede auct. ap. assec. extitit> etiamsi vac. adhuc p. prom. quond. Godfridi Langen ad eccl. Zwerin. seu p. resign. eiusdem aut p. o. <vel p. resign. > Nicolai Bodekker <in universali eccl. > olim eccl. Zwerin. ep. vel p. resi ...
52	323	10800323-1	0	76.29	ok	H4 6481 (8,1_0122.jpg	starts-here	0.000	0.173	322|323|324		0		s. Ben. Constant. dioc.: solut. com- mun. servit. 151 fl. adc. 33 sol. 4	solut. commun. serv. 151 fl. adc. 33 sol. 4 den. domino Gilifortis et unius min. serv. 7 fl. 29 sol. 2 den. necnon trium min. serv. 22 fl. 37 sol. 6 den. p. Petrum et Johannem de Medicis qua papa eidem remisit 16. feb. 1462 OS 78 114r .
53	329	10800329-4	0	82.24	ok	H4 6481 (8,1_0123.jpg	starts-here	0.000	0.091	328|329|330		0		V 512 139%s. - qui propter multa bona in op. Str(a)ubingen	Capit. eccl. qui propter multa bona in op. Str a ubingen Ratisbon. dioc. pro conversatione offic. ex can. capitularibus deput. diversa litigia sustinuerunt, quib. deinde ep. Ratisbon. off. predictum prepos. nunc. sec. off. nichil spirit. in se continentem fuisse decl. : de conf. concordiam inter H erpfonem Truchsesz de Hefingen Truchesess de Hefingen can. eccl. Ratisbon. cui auct. ap. de d. prepos. prov. fuit et prep. etc. A. fact. post compromissum in P[etrum] tit. s. Vitalis presb. card. ep. A ...
54	332	10800332-10	0	95.92	ok	H4 6481 (8,1_0124.jpg	ends-here	0.751	0.995	331|332|333		0		arg.) vac. p. o. Johannis Knock 15. mart. 64 S 574 154"s.	actor litig. coram Antonio de Grassis aud. contra Johannem Ehinger cler. intrusum: de prov. si neutri de par. eccl. s. Stephani in Kirchdorff Chiem. dioc. 14 m. arg. vac. p. o. Johannis Knock 15. mart. 1464 S 574 154vs .
55	342	10800342-1	0	100.00	ok	H4 6481 (8,1_0125.jpg	continues	0.164	0.431	341|342|343		0		eccl. in Luchow Verden. dioc. cui certa iurisd. est annexa (6 m. arg.)	de nova prov. de prepos. rurali seu par. eccl. in Luchow Verden. dioc. cui certa iurisd. est annexa 6 m. arg. quam vac. p. resign. Johannis Premen vig. present. Bernardi ducis Brunenswicen. et Luneborgen. auct. ordin. assec. est 27. ian. 1463 S 560 131v .
56	345	10800345-11	0	100.00	ok	H4 6481 (8,1_0126.jpg	continues	0.183	0.343	344|345|346		0		preb. eccl. s. Plechelmi (Plekelmy, Plekclany) Aldensalen. Traiect.	oblig. p. Petrum Barghe in cur. procur. sup. annat. excessivi val. can. et preb. eccl. s. Plechelmi Plekelmy, Plekclany Aldensalen. Traiect. dioc. 5 m. arg. vac. p. resign. Johannis Mileken ex causa perm. pro perp. vicar. ad alt. ss. Andree apl. ac Catherine et Agnetis in eccl. s. Lebuini Daventrien. d. dioc. 4 m. , solv. 2 1/2 fl. 2. iun. 1464 A 15 56r , 2 fl. 25 sol. p. Petrum Barche IE 455 84r , IE 456 84r .
57	354	10800354-1	0	93.22	ok	H4 6481 (8,1_0127.jpg	continues	0.713	0.751	353|354|355		0		univers. de Gorlitz, Budessen, Sic- tair, Cametz, Loben, Lauben ac	litt. contra Johannem de Prebuss domicellum Misnen. dioc. germanum suum et nob. vires Henricum de Eretche Melhosen et Fredericum Kotwyer ac Neolaum et Gaspar et Matheum Rucschiezer necnon Henricum Kachllofen et Gregorium Vmverde et Gaspar Metzaode necnon Johannem Rotenberg ac Johannem Wathaw ac Gregorium Wolf et Leborium Ragke ac Gaspar Nebelstietzer et Georgium Cokeritz ac Nicolaum Watelsdoister necnon Henricum Stube et Benedictum Amoris cust. , Johannem de Igrebus et Gabrielem Lopte et Johanne ...
58	359	10800359-1	0	100.00	ok	H4 6481 (8,1_0128.jpg	continues	0.247	0.439	358|359|360		0		vacat. p. priv. Johannis Volmar qui eandem cuidam Georgio re-	de capn. s. c. ad certum alt. in par. eccl. op. Lisynez Nuemburg. dioc. 12 fl. adc. vacat. p. priv. Johannis Volmar qui eandem cuidam Georgio resign. c. reserv. certi pretii 7 fl. adc. sup. fruct. , n. o. par. eccl. Novaecclesia nunc. 20 et capel. extra op. Camnecz s. c. Misnen. dioc. 10 fl. adc. quas obtin. 27. iun. 1460 S 531 255rs .
59	362	10800362-2	0	80.37	ok	H4 6481 (8,1_0129.jpg	ends-here	0.408	1.000	361|362|363		0		ta Mantue celebranda 27. ian. 59 Arm. 39.9 7's. - breve de tractando	breve de agendo c. imper. sup. dieta Mantue celebranda 27. ian. 1459 Arm. 39.9 7vs .
60	379	10800379-2	0	78.10	ok	H4 6481 (8,1_0130.jpg	ends-here	0.819	1.000	378|379|380		0		fam. pape extitisset 24. oct. 61 S 546 103"s. - motu pr. de off. prime	de prerog. fam. n. descript. in assec. gr. expect. de 2 benef. ad coll. ep. etc. August. ac abb. etc. mon. ss. Udalrici et Affre o. s. Ben. August. motu pr. s. d. 24. nov. 58 sibi conc. et de perinde val. acsi temp. d. litt. fam. pape extitisset 24. oct. 1461 S 546 103vs .
61	386	10800386-1	0	94.64	ok	H4 6481 (8,1_0131.jpg	ends-here	0.678	0.955	385|386|387		0		Warm. (10 m. arg.) 6. sept. 58 S 511 146's., conc. s. d. 4. sept. 58 V	de can. et preb. ac scolastr. colleg. eccl. b. Marie Stetinen. Camin. dioc. 5 et 4 m. arg. vac. p. o. in cur. Thimonis Webße , n. o. can. et maior. preb. eccl. Warm. 10 m. arg. 6. sept. 1458 S 511 146rs ., conc. s. d. 4. sept. 58 V 500 6v .
