page	entry	sub_id	is_head	score	status	scan	text_position	match_rel_start	match_rel_end	candidate_entries	detected_header_entry	reviewed	review_note	ocr_last_lines	xml_sublemma_preview
517	3613	10803613-2	0	98.21	ok	H4 6481 (8,1_0589.jpg	continues	0.148	0.332	3612|3613|3614		0		appl.) in Oringen Herbip. dioc. (4 m. arg.) vac. p. 0. Johannis Gre-	de can. et preb. colleg. eccl. < ss. Petri et Pauli appl. > in Oringen Herbip. dioc. 4 m. arg. vac. p. o. Johannis Grevinger Gemniger , n. o. ad b. Marie in Odeshe i m ac s. Michaelis in Luterburg Spiren. dioc. par. eccl. alt. perp. s. c. benef. que obtin. et prov. de can. et preb. ut supra simul 12 m. arg. 28. sept. 1458 S 510 24r , L 541 8rss .
518	3623	10803623-6	0	100.00	ok	H4 6481 (8,1_0590.jpg	continues	0.339	0.861	3622|3623|3624		0		Helmstat prep. et mag. Ruckerum de Luterburg can. Spiren. 19. nov.	oblig. sup. serv. 600 fl. adc. p. Ulricum de Helmstat prep. et mag. Ruckerum de Luterburg can. Spiren. 19. nov. 1459 OS 76 198r .
519	3629	10803629-1	0	94.83	ok	H4 6481 (8,1_0591.jpg	ends-here	0.582	0.910	3628|3629|3630		0		Petri Anthonii de Astis aut Andree 24. oct. 61 S 545 139%s., L	de prioratu sec. et colleg. eccl. s. Marie de porta Maceraten. 26 <15> fl. adc. vac. p. resign. d. Stephani seu p. o. Petri Anthonii de Astis aut Andree 24. oct. 1461 S 545 139vs ., L 577 126v-128v .
520	3636	10803636-1	0	100.00	ok	H4 6481 (8,1_0592.jpg	starts-here	0.117	0.280	3635|3636|3637		0		na villa Cracov. dioc. (10 m. arg.) vac. p. resign. mag. Pauli de Zator	de par. eccl. s. Marie Magdalene in Dzizcragosyna villa Cracov. dioc. 10 m. arg. vac. p. resign. mag. Pauli de Zator decr. doct. can. Cracov. olim Sbignei tit. s. Prisce presb. card. ep. Cracov. vulg. nunc. fam. iun. 63 in manibus ordin. fact. in qua Johannes scolast. colleg. eccl. s. Johannis in Scarbmira d. dioc. intrusus est, n. o. par. eccl. in Dinbno 4 m. litig. in cur. quam n. possidet 4. feb. 1462 S 571 157vs .
521	3640	10803640-1	0	95.41	ok	H4 6481 (8,1_0593.jpg	starts-here	0.000	0.542	3639|3640|3641		0		dioc.: de decan. s. Catherine eccl. in Oppenhem d. dioc. (4 m. arg.)	de decan. s. Catherine eccl. in Oppenhem d. dioc. 4 m. arg. vac. p. o. Jacobi Meister 3. ian. 1463 S 556 20v .
522	3646	10803646-2	0	71.58	ok	H4 6481 (8,1_0594.jpg	ends-here	0.678	1.000	3645|3646|3647		0		gunt. dioc. 24. nov. 58 V 507 198'- 199” - de par. eccl. b. Marie op.	motu pr. prov. de 2 benef. ad coll. ep. etc. Nuemburg. ac prep. etc. b. Marie Erfford. Magunt. dioc. 24. nov. 1458 V 507 198r-199v .
523	3647	10803647-2	0	79.63	ok	H4 6481 (8,1_0595.jpg	ends-here	0.755	1.000	3646|3647|3648		0		hodie sibi conc., gratis 24. nov. 58 V 510 277° - prov. de par. eccl. in	Bartholomei de Piccolominibus dilectus: prerog. fam. n. descript. in assec. 2 benef. ad coll. ep. etc. Lubic. ac prep. etc. b. Marie Hamburg. Bremen. dioc. hodie sibi conc. , gratis 24. nov. 1458 V 510 277r .
524	3652	10803652-4	0	95.45	ok	H4 6481 (8,1_0596.jpg	ends-here	0.742	0.945	3651|3652|3653		0		clericos d. dioc., et prov. sibi si nulli 11. decb. 60 S 534 78%s., gratis	de surrog. ad iur. ex causa cess. Stephani Lan n dolt cler. Ratisbon. qui vig. gr. expect. acc. can. et preb. colleg. eccl. s. Martini in Heylginstad Magunt. dioc. 4 m. arg. p. vac. p. o. Conradi Prusße , litig. desup. contra Johannem Sigen intrusum et Johannem Roder clericos d. dioc. , et prov. sibi si nulli 11. decb. 1460 S 534 78vs ., gratis V 479 231r-232v .
525	3659	10803659-1	0	95.92	ok	H4 6481 (8,1_0597.jpg	ends-here	0.639	0.949	3658|3659|3660		0		(3 m. arg.) quam vac. certo modo obtin. 6. mart. 64 S 556	de nova prov. de perp. vicar. ad alt. ss. Cornelii et Matthie in colleg. eccl. s. Servatii Traiect. Leod. dioc. 3 m. arg. quam vac. certo modo obtin. 6. mart. 1464 S 556 210vs .
526	3666	10803666-3	0	98.33	ok	H4 6481 (8,1_0598.jpg	continues	0.605	0.863	3665|3666|3667		0		ad vitam propter plurimam gra- tam obsequiam Johanni p. Bertol-	Ludovici Geyser nepos cui ut supra prov. fuit c. reserv. pens. ann. 50 fl. renen. sup. fruct. d. eccl. : de solv. d. pens. Bertoldo Kurich presb. Herbip. dioc. ad vitam propter plurimam gratam obsequiam Johanni p. Bertoldum impensam 5. ian. 1462 S 548 46r .
527	3668	10803668-2	0	98.33	ok	H4 6481 (8,1_0599.jpg	ends-here	0.669	0.911	3667|3668|3669		0		mon. in Horenbach o. s. Ben. Me- ten. dioc. s. d. 24. nov. 58 sibi conc.	cler. Wormat. dioc. : motu pr. de prerog. fam. n. descript. in assec. can. c. reserv. preb. colleg. eccl. s. Katherine op. Oppenheym Magunt. dioc. necnon benef. ad coll. abb. et prioris etc. mon. in Horenbach o. s. Ben. Meten. dioc. s. d. 24. nov. 58 sibi conc. 5. nov. 1463 S 569 286vs .
528	3675	10803675-1	0	91.59	ok	H4 6481 (8,1_0600.jpg	starts-here	0.000	0.266	3674|3675|3676		0		mero aud.: de prov. si neutri de par. eccl. s. Nicolai in Dambno	de prov. si neutri de par. eccl. s. Nicolai in Dambno Cracov. dioc. 3 m. arg. quam vac. p. o. Jacobi Bezeczla Jacobus de Senno tunc el. conf. Cracov. auct. ordin. sibi contulit 24. oct. 1463 S 556 165vs .
529	3690	10803690-1	0	69.90	ok	H4 6481 (8,1_0601.jpg	ends-here	0.835	1.000	3689|3690|3691		0		fact. et prov. sibi 23. apr. 62 S 550 55‘ - cui s. d. 24. nov. 58 de can. c.	motu pr. de cass. coll. can. et preb. eccl. s. Stephani Magunt. 6 m. arg. vac. p. o. Phylippi Hertt p. dec. etc. d. eccl. sed. ap. et Adolpho el. Magunt. rebelles et Diethero de Isenburg adherentes pro Ludovico Quilder fact. et prov. sibi 23. apr. 1462 S 550 55r .
530	3702	10803702-1	0	100.00	ok	H4 6481 (8,1_0602.jpg	starts-here	0.082	0.421	3701|3702|3703		0		perp. vicar. ad alt. s. Cristofori in colleg. eccl. s. Lebuini Daventrien.	de nova prov. de perp. vicar. ad alt. s. Cristofori in colleg. eccl. s. Lebuini Daventrien. d. dioc. 4 m. arg. quam vac. p. resign. Alberti Hesseli presb. d. dioc. p. collatores ordin. assec. est 5. ian. 1463 S 559 58vs .
531	3712	10803712-1	0	94.64	ok	H4 6481 (8,1_0603.jpg	starts-here	0.097	0.385	3711|3712|3713		0		preb. eccl. Meten. (24 1. Tur. p.) vacat. p. priv. Reginaldi Jacobi	de custod. ac can. et preb. eccl. Meten. 24 l. T. p. vacat. p. priv. Reginaldi Jacobi propter irreg. , n. o. can. et preb. colleg. eccl. b. Bernardi de Romanis Viennen. dioc. 24 l. T. p. quos obtin. 7. sept. 1462 S 557 141rs .
532	3723	10803723-3	0	98.28	ok	H4 6481 (8,1_0604.jpg	continues	0.466	0.858	3722|3723|3724		0		b. Marie sed de benef. ad coll. prep. etc. etusdem eccl. conc. 27.	decl. litt. gr. expect. ut supra Hawgis perinde val. acsi n. de can. d. eccl. b. Marie sed de benef. ad coll. prep. etc. eiusdem eccl. conc. 27. oct. 1459 L 554 12vss .
533	3732	10803732-0	1	94.66	ok	H4 6481 (8,1_0605.jpg	starts-here	0.000	0.849	3731|3732|3733	3732	0	correctly matched head of entry 3732	3732 Johannes rect. capel. in Tirnaw in- fra lim. par. eccl. de Drasendorff	Johannesrect. capel. in Tirnaw infra lim. par. eccl. de Drasendorff Patav. dioc.
534	3742	10803742-1	0	100.00	ok	H4 6481 (8,1_0606.jpg	continues	0.213	0.529	3741|3742|3743		0		Marie Antwerpien. Cameracen. dioc., gratis pro cap. imper. (da-	prov. de benef. ad coll. dec. etc. eccl. b. Marie Antwerpien. Cameracen. dioc. , gratis pro cap. imper. datum Wienne Patav. dioc. p. Bessarionem in Alamania legatum 3. iul. 1460 Arm. 35.135 97vs .
535	3747	10803747-14	0	100.00	ok	H4 6481 (8,1_0607.jpg	continues	0.161	0.414	3746|3747|3748		0		dioc. dec. eligere val. etiamsi dign. principales fuerint quodque deca-	de ordin. quod capitula colleg. eccl. Trever. dioc. dec. eligere val. etiamsi dign. principales fuerint quodque decani personaliter resid. facere teneantur, fiat proviso quod principales dign. p. sed. ap. conf. , alias nullius sit momenti elect. 7. aug. 1461 S 542 152v , L 568 126vs .
536	3751	10803751-6	0	100.00	ok	H4 6481 (8,1_0608.jpg	continues	0.594	0.715	3750|3751|3752		0		can. et preb. (10) necnon par. eccl. s. Michaelis de Traiena (20) que	bac. in decr. , presb. , causarum cam. ap. not. : prov. de par. eccl. loci de Caucio Bitteren. dioc. 100 l. T. p. vac. p. resign. ex causa perm. Johannis Cristiani licent. in leg. p. Johannem de Sancto Potani cler. procur. eius hodie fact. pro par. eccl. s. Reginberti Lugdunen. et Andegaven. dioc. , n. o. Lausan. 30 et Londonen. eccl. can. et preb. 10 necnon par. eccl. s. Michaelis de Traiena 20 que obtin. et prov. de can. et preb. eccl. s. Vincencii Montisregalis quos n. possidet 10 l. T. p. Lo ...
537	3757	10803757-2	0	100.00	ok	H4 6481 (8,1_0609.jpg	continues	0.237	0.638	3756|3757|3758		0		statutorum eccl. August. (quod nullus d. cellerariam obtin. possit	de confic. litt. desup. absque express. statutorum eccl. August. <quod nullus d. cellerariam obtin. possit nisi d. eccl. can. > 21. mai. 1461 S 539 293r , V 486 206r-208r .
538	3765	10803765-0	1	93.91	ok	H4 6481 (8,1_0610.jpg	ends-here	0.814	1.000	3764|3765|3766		0		cipis appl. de Urbe refer. pape fam. exist. expressum fuit: de per-	Johannes Ubelacker Ubelacher tunc scol. nunc cler. Magunt. dioc. , fam. pape cui s. d. 24. nov. 58 de 2 benef. ad coll. ep. etc. Herbip. necnon abb. etc. mon. Fulden. o. s. Ben. Herbip. dioc. prov. fuit in quib. litt. quod Ag<apiti> ep. Anchon. Anconitan. tunc can. Principis appl. de Urbe refer. pape fam. exist. expressum fuit
539	3773	10803773-5	0	98.41	ok	H4 6481 (8,1_0611.jpg	continues	0.472	0.726	3772|3773|3774		0		ab ordin. suo in partibus ad dia- con. et presbit. c. disp. quod temp.	qui in eccl. Spiren. et Wormat. s. ord. recip. n. val. et propterea ad cur. se transtulit et in subdiac. se fecit prom. : de prom. ab ordin. suo in partibus ad diacon. et presbit. c. disp. quod temp. de recip. ord. interim sibi n. currat, sola sign. 19. iun. 1462 S 552 245rs .
540	3783	10803783-2	0	100.00	ok	H4 6481 (8,1_0612.jpg	continues	0.318	0.492	3782|3783|3784		0		Henrici Grummel de Hagennowe acc. quarum coll. ad Georgium	qui vig. gr. expect. perp. vicar. par. eccl. in Tungsenheim Argent. dioc. cuius fruct. satis modici val. vac. p. o. Henrici Grummel de Hagennowe acc. quarum coll. ad Georgium Zorn prep. eccl. s. Petri iunior. Argent. spectat quem Stephanus Bittinger cler. pretextu gr. expect. ad parendum proc. requisivit: de n. prom. ad 2 an. 6. apr. 1462 S 549 290rs .
